Store_Name,Floor_name,Floor_Index,latitude,longitude
Jamba Juice,Concourse Level,0,37.784091,-122.406813
Coriander Gourmet Thai,Concourse Level,0,37.784596,-122.40621
NYS Collection,Concourse Level,0,37.784396,-122.406587
Hallmark,Concourse Level,0,37.783771,-122.407377
Sorabol Korean BBQ & Asian Noodles,Concourse Level,0,37.784601,-122.406328
Pasta Moto,Concourse Level,0,37.784534,-122.406025
Abercrombie & Fitch,Concourse Level,0,37.783944,-122.407537
Fire of Brazil,Concourse Level,0,37.784447,-122.406224
ProActiv Solutions ,Concourse Level,0,37.784161,-122.4069
Corner W,Concourse Level,0,37.784808,-122.406501
Buckhorn Grill,Concourse Level,0,37.784569,-122.406141
Cako Bakery,Concourse Level,0,37.78467,-122.406679
Claire's Boutique,Concourse Level,0,37.784126,-122.407061
Bristol Farms,Concourse Level,0,37.784159,-122.40635
PacSun,Concourse Level,0,37.783959,-122.40691
DAVIDsTEA,Concourse Level,0,37.784411,-122.406709
Andale Mexican Restaurant,Concourse Level,0,37.784511,-122.405956
Sunglass Hut ,Concourse Level,0,37.784071,-122.406885
Peet's Coffee & Tea,Concourse Level,0,37.784591,-122.406782
Panda Express,Concourse Level,0,37.783778,-122.407161
GNC,Concourse Level,0,37.784053,-122.407307
New Era,Concourse Level,0,37.783893,-122.407389
LEGO,Concourse Level,0,37.784222,-122.406978
Mrs. Fields,Concourse Level,0,37.783953,-122.407318
Beard Papa's Cream Puffs,Concourse Level,0,37.784505,-122.406555
Ajisen Ramen,Concourse Level,0,37.783767,-122.40707
Shoe Palace ,Concourse Level,0,37.784106,-122.407189
Loving Hut Vegan Cuisine ,Concourse Level,0,37.784292,-122.40601
Ghirardelli Ice Cream and Chocolate Shop ,Concourse Level,0,37.784449,-122.406665
Marbles: The Brain Store,Concourse Level,0,37.784353,-122.406773
Caffe Central,Concourse Level,0,37.784294,-122.406164
Pressed Juicery,Concourse Level,0,37.78432,-122.406195
Cafe Bellini,Concourse Level,0,37.783944,-122.407175
Sarku Japan,Concourse Level,0,37.783831,-122.406941
Kichi Grill,Concourse Level,0,37.784312,-122.405822
Bloomingdale's,Concourse Level,0,37.783887,-122.405783
Warriors Team Store,Concourse Level,0,37.784208,-122.40743
Lobster Me,Concourse Level,0,37.784505,-122.406399
Amoura Cafe Fresh Mediterranean,Concourse Level,0,37.784625,-122.406417
Wetzel's Pretzels,Concourse Level,0,37.784123,-122.40695
Shoe Wiz,Concourse Level,0,37.78413,-122.407374
